sample_id	tax_id	isolate	species	genus	subfamily	family	suborder	order	subclass	class	phylum	clade1	kingdom	clade	superkingdom	no rank
Craterolophus_convolvulus_RYUSv1	37531	Craterolophus_convolvulus_RYUSv1	Craterolophus convolvulus	Craterolophus	NA	Craterolophidae	Amyostaurida	Stauromedusae	NA	Staurozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Dynamena_pumila_WSRUv1	308606	Dynamena_pumila_WSRUv1	Dynamena pumila	Dynamena	NA	Sertulariidae	NA	Leptothecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Gorgonia_ventalina_LRPRv1	204384	Gorgonia_ventalina_LRPRv1	Gorgonia ventalina	Gorgonia	NA	Gorgoniidae	Holaxonia	Alcyonacea	Octocorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Haliclystus_auricula_NANAv1	1954221	Haliclystus_auricula_NANAv1	Haliclystus auricula	Haliclystus	NA	Haliclystidae	Myostaurida	Stauromedusae	NA	Staurozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Haliclystus_sanjuanensis_SJUSv1	168739	Haliclystus_sanjuanensis_SJUSv1	Haliclystus sanjuanensis	Haliclystus	NA	Haliclystidae	Myostaurida	Stauromedusae	NA	Staurozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Hydra_oligactis_GNCHv1	6088	Hydra_oligactis_GNCHv1	Hydra oligactis	Hydra	NA	Hydridae	Aplanulata	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Kudoa_iwatai_RSILv1	269814	Kudoa_iwatai_RSILv1	Kudoa iwatai	Kudoa	NA	Kudoidae	NA	Multivalvulida	Myxosporea	Myxozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Lucernaria_quadricornis_AIUSv1	1843199	Lucernaria_quadricornis_AIUSv1	Lucernaria quadricornis	Lucernaria	NA	Lucernariidae	Myostaurida	Stauromedusae	NA	Staurozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Millepora_alcicornis_PRUSv1	544493	Millepora_alcicornis_PRUSv1	Millepora alcicornis	Millepora	NA	Milleporidae	Capitata	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Millepora_complanata_PRUSv1	544496	Millepora_complanata_PRUSv1	Millepora complanata	Millepora	NA	Milleporidae	Capitata	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Millepora_sp_RR-2016_PRUSv1	1916238	Millepora_sp_RR-2016_PRUSv1	Millepora sp. RR-2016	Millepora	NA	Milleporidae	Capitata	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Millepora_squarrosa_PRUSv1	544505	Millepora_squarrosa_PRUSv1	Millepora squarrosa	Millepora	NA	Milleporidae	Capitata	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Myxobolus_cerebralis_NANAv1	59783	Myxobolus_cerebralis_NANAv1	Myxobolus cerebralis	Myxobolus	NA	Myxobolidae	Platysporina	Bivalvulida	Myxosporea	Myxozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Myxobolus_pendula_ONCAv1	138709	Myxobolus_pendula_ONCAv1	Myxobolus pendula	Myxobolus	NA	Myxobolidae	Platysporina	Bivalvulida	Myxosporea	Myxozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Pachycerianthus_borealis_NANAv1	2736680	Pachycerianthus_borealis_NANAv1	Pachycerianthus borealis	Pachycerianthus	NA	Cerianthidae	NA	Ceriantharia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Palythoa_variabilis_PCBRv1	86597	Palythoa_variabilis_PCBRv1	Palythoa variabilis	Palythoa	NA	Sphenopidae	NA	Zoantharia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Physalia_physalis_OKJPv1	168775	Physalia_physalis_OKJPv1	Physalia physalis	Physalia	NA	Physaliidae	Cystonectae	Siphonophorae	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Plexaura_homomalla_PRUSv1	47982	Plexaura_homomalla_PRUSv1	Plexaura homomalla	Plexaura	NA	Plexauridae	Holaxonia	Alcyonacea	Octocorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Plexaura_kukenthali_PRUSv1	2789654	Plexaura_kukenthali_PRUSv1	Plexaura kukenthali	Plexaura	NA	Plexauridae	Holaxonia	Alcyonacea	Octocorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Podocoryna_carnea_NANAv1	6096	Podocoryna_carnea_NANAv1	Podocoryna carnea	Podocoryna	NA	Hydractiniidae	Filifera	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Polypodium_hydriforme_OKUSv1	43186	Polypodium_hydriforme_OKUSv1	Polypodium hydriforme	Polypodium	NA	Polypodiidae	NA	Polypodiidea	NA	Polypodiozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Porpita_porpita_YOJPv1	316235	Porpita_porpita_YOJPv1	Porpita porpita	Porpita	NA	Porpitidae	Capitata	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Rhodactis_indosinensis_NATWv1	541185	Rhodactis_indosinensis_NATWv1	Rhodactis indosinensis	Rhodactis	NA	Discosomidae	NA	Corallimorpharia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Ricordea_yuma_NAAUv1	51832	Ricordea_yuma_NAAUv1	Ricordea yuma	Ricordea	NA	Ricordeidae	NA	Corallimorpharia	Hexacorallia	Anthozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Tripedalia_cystophora_Conant1897_1897v1	6141	Tripedalia_cystophora_Conant1897_1897v1	Tripedalia cystophora	Tripedalia	NA	Tripedaliidae	NA	Carybdeida	NA	Cubozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Turritopsis_sp_SK-2016_TBJPv1	1784781	Turritopsis_sp_SK-2016_TBJPv1	Turritopsis sp. SK-2016	Turritopsis	NA	Oceaniidae	Filifera	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
Velella_velella_OKJPv1	264060	Velella_velella_OKJPv1	Velella velella	Velella	NA	Porpitidae	Capitata	Anthoathecata	Hydroidolina	Hydrozoa	Cnidaria	Eumetazoa	Metazoa	Opisthokonta	Eukaryota	cellular organisms
